action_id	lemma	verbnet_key	class_id	wordnet_senses_json	propbank_groupings_json	framenet_frames_json	provenance
vn34:other_cos-45.4:6b0fae7c6b9b9d3f	abridge	abridge#1	other_cos-45.4	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4
vn34:free-10.6.3-1:ad37030ba4df9305	absolve	absolve#1	free-10.6.3-1	"[""absolve%2:32:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:free-10.6.3-1
vn34:absorb-39.8:c63678c163da7319	absorb	absorb#1	absorb-39.8	"[""absorb%2:35:00"",""absorb%2:43:00""]"	"[""absorb.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:absorb-39.8
vn34:learn-14-2:2bab1ffd50bce075	absorb	absorb#2	learn-14-2	[]	"[""absorb.02""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:learn-14-2
vn34:refrain-69:53af068bc50fbaee	abstain	abstain#1	refrain-69	"[""abstain%2:34:00"",""abstain%2:41:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:refrain-69
vn34:remove-10.1:04e5a0f65fe3470b	abstract	abstract#1	remove-10.1	"[""abstract%2:40:00""]"	"[""abstract.02""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remove-10.1
vn34:judgment-33.1:fcf2e242962b354f	abuse	abuse#1	judgment-33.1	"[""abuse%2:30:00"",""abuse%2:32:00"",""abuse%2:41:00""]"	"[""abuse.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:judgment-33.1
vn34:contiguous_location-47.8-1:ad21fc48baa2dec6	abut	abut#1	contiguous_location-47.8-1	"[""abut%2:35:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contiguous_location-47.8-1
vn34:acquiesce-95.1-1:42dfb7255026f4ac	accede	accede#1	acquiesce-95.1-1	"[""accede%2:32:00"",""accede%2:32:01""]"	"[""accede.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:acquiesce-95.1-1
vn34:other_cos-45.4:1a8f8f86c9bd3135	accelerate	accelerate#1	other_cos-45.4	"[""accelerate%2:30:00"",""accelerate%2:30:01""]"	"[""accelerate.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4
vn34:accept-77.1:465444040100c1c1	accept	accept#1	accept-77.1	"[""accept%2:31:01"",""accept%2:31:03""]"	"[""accept.01"",""accept.02"",""accept.03""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:accept-77.1
vn34:characterize-29.2-1-1:0a245f2f8fbc6657	accept	accept#2	characterize-29.2-1-1	"[""accept%2:31:00"",""accept%2:31:01"",""accept%2:31:03""]"	"[""accept.02"",""accept.03""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:characterize-29.2-1-1
vn34:obtain-13.5.2:423d3213ff24f285	accept	accept#3	obtain-13.5.2	"[""accept%2:40:00""]"	"[""accept.01""]"	"[""Receiving""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:obtain-13.5.2
vn34:judgment-33.1-1:c16de5aefb7ef25e	acclaim	acclaim#1	judgment-33.1-1	"[""acclaim%2:32:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:judgment-33.1-1
vn34:adjust-26.9:fa42fcb8971ba7c9	accommodate	accommodate#1	adjust-26.9	"[""accommodate%2:30:00"",""accommodate%2:30:01""]"	"[""accommodate.02""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:adjust-26.9
vn34:accompany-51.7:797ac909f858d2e6	accompany	accompany#1	accompany-51.7	"[""?accompany%2:42:01"",""accompany%2:38:00""]"	"[""accompany.01""]"	"[""Cotheme""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:accompany-51.7
vn34:complete-55.2:bd57fb10c1bdfffd	accomplish	accomplish#1	complete-55.2	"[""accomplish%2:36:00"",""accomplish%2:41:00""]"	"[""accomplish.01""]"	"[""Accomplishment""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:complete-55.2
vn34:future_having-13.3:e12651a0860799f0	accord	accord#1	future_having-13.3	"[""accord%2:40:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:future_having-13.3
vn34:patent-101:ed7db0af210e6019	accredit	accredit#1	patent-101	"[""accredit%2:41:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:patent-101
vn34:obtain-13.5.2:26106efd532108e1	accrue	accrue#1	obtain-13.5.2	"[""accrue%2:30:00"",""accrue%2:40:10""]"	"[""accrue.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:obtain-13.5.2
vn34:herd-47.5.2:b2e61ad1444cb2a6	accumulate	accumulate#1	herd-47.5.2	"[""accumulate%2:30:00"",""accumulate%2:40:00""]"	"[""accumulate.01"",""accumulate.02""]"	"[""Amassing""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:herd-47.5.2
vn34:obtain-13.5.2:4e1f9e7f03171d0e	accumulate	accumulate#2	obtain-13.5.2	"[""?accumulate%2:40:00""]"	"[""accumulate.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:obtain-13.5.2
vn34:suspect-81:ea677b1dc89e35d6	accuse	accuse#1	suspect-81	"[""accuse%2:32:00""]"	"[""accuse.01""]"	"[""Notification_of_charges""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:suspect-81
vn34:other_cos-45.4:d78bca33f38c0880	acetify	acetify#1	other_cos-45.4	"[""acetify%2:30:00"",""acetify%2:39:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4
vn34:long-32.2:c53c100c9f0f43c5	ache	ache#1	long-32.2	"[""ache%2:37:06""]"	"[""ache.02""]"	"[""Desiring""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:long-32.2
vn34:marvel-31.3:698a972eff62f6c8	ache	ache#2	marvel-31.3	"[""?ache%2:37:06""]"	"[""ache.02""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:marvel-31.3
vn34:tingle-40.8.2:d6ae229a96ed80b4	ache	ache#3	tingle-40.8.2	"[""ache%2:39:00""]"	"[""ache.01""]"	"[""Perception_body""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:tingle-40.8.2
vn34:complete-55.2:033517f2e34985ab	achieve	achieve#1	complete-55.2	"[""achieve%2:41:00""]"	"[""achieve.01""]"	"[""Accomplishment""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:complete-55.2
vn34:other_cos-45.4:336381eba016215a	acidify	acidify#1	other_cos-45.4	"[""acidify%2:30:00"",""acidify%2:39:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4
vn34:confess-37.10:2ecd1ee88be88d07	acknowledge	acknowledge#1	confess-37.10	"[""acknowledge%2:32:00""]"	"[""acknowledge.01""]"	"[""Statement""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:confess-37.10
vn34:consider-29.9-1:2847fef315213ba9	acknowledge	acknowledge#2	consider-29.9-1	[]	[]	"[""Statement""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:consider-29.9-1
vn34:tell-37.2:d34d11e1783b4702	acquaint	acquaint#1	tell-37.2	[]	"[""acquaint.02""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:tell-37.2
vn34:acquiesce-95.1-1-1:d3a555629698d2dc	acquiesce	acquiesce#1	acquiesce-95.1-1-1	"[""acquiesce%2:32:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:acquiesce-95.1-1-1
vn34:obtain-13.5.2-1:93de78e322e04576	acquire	acquire#1	obtain-13.5.2-1	"[""acquire%2:40:00""]"	"[""acquire.03""]"	"[""Getting""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:obtain-13.5.2-1
vn34:free-10.6.3-1:cc5096f28c9500fe	acquit	acquit#1	free-10.6.3-1	"[""acquit%2:32:00""]"	"[""acquit.01""]"	"[""Verdict""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:free-10.6.3-1
vn34:act-114-1-1:41a31d3f9e4df4eb	act	act#1	act-114-1-1	"[""act%2:41:00""]"	"[""act.02""]"	"[""Conduct""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:act-114-1-1
vn34:masquerade-29.6-1:0799738005de9c39	act	act#2	masquerade-29.6-1	"[""act%2:29:00"",""act%2:33:00""]"	"[""act.01"",""act.02""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:masquerade-29.6-1
vn34:seem-109-1:8f1efab5132942c1	act	act#3	seem-109-1	[]	[]	"[""Conduct""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:seem-109-1
vn34:act-114:d55b8fdecba3ed1b	action	action#1	act-114	"[""action%2:36:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:act-114
vn34:other_cos-45.4:5095486f05b94207	activate	activate#1	other_cos-45.4	[]	"[""activate.01"",""activate.02"",""activate.03"",""activate.04""]"	"[""Change_operational_state""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4
vn34:engender-27.1-1:48709bb84af52f7c	actuate	actuate#1	engender-27.1-1	"[""actuate%2:36:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:engender-27.1-1
vn34:adjust-26.9:e7489b69a28a15f0	adapt	adapt#1	adjust-26.9	"[""adapt%2:30:02""]"	"[""adapt.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:adjust-26.9
vn34:mix-22.1-2:81b7d3edf5b442e8	add	add#1	mix-22.1-2	"[""add%2:30:00""]"	"[""add.01"",""add.02""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:mix-22.1-2
vn34:multiply-108:4718f3b34e5c2801	add	add#2	multiply-108	"[""add%2:31:00"",""add%2:32:00""]"	"[""add.02""]"	"[""Adding_up""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:multiply-108
vn34:say-37.7-1:21917290dfc8e3cf	add	add#3	say-37.7-1	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:say-37.7-1
vn34:addict-96:1da22204fe04080c	addict	addict#1	addict-96	"[""addict%2:34:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:addict-96
vn34:illustrate-25.3:23ae27b2bbf3897f	address	address#1	illustrate-25.3	"[""address%2:32:03""]"	"[""address.06""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:illustrate-25.3
vn34:cling-22.5:54d112a5c65a66a4	adhere	adhere#1	cling-22.5	"[""adhere%2:35:01""]"	"[""adhere.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:cling-22.5
vn34:abide_by-93.2:fe5f71b0e7bf6a85	adhere_to	adhere_to#1	abide_by-93.2	"[""adhere%2:30:00"",""adhere%2:42:00"",""adhere%2:42:02""]"	[]	"[""Compliance""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:abide_by-93.2
vn34:contiguous_location-47.8-1:135de0c26924353d	adjoin	adjoin#1	contiguous_location-47.8-1	"[""adjoin%2:35:02"",""adjoin%2:35:03""]"	"[""adjoin.01""]"	"[""Adjacency""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contiguous_location-47.8-1
vn34:declare-29.4-1:47bdeb4b9859710d	adjudge	adjudge#1	declare-29.4-1	"[""adjudge%2:32:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:declare-29.4-1
vn34:adjust-26.9:a6600be482f8d4bc	adjust	adjust#1	adjust-26.9	"[""adjust%2:30:01""]"	"[""adjust.02""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:adjust-26.9
vn34:contribute-13.2-1-1:46bba9e52ae29fe0	administer	administer#1	contribute-13.2-1-1	"[""administer%2:29:00"",""administer%2:40:00"",""administer%2:40:01""]"	"[""administer.02"",""administer.03""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contribute-13.2-1-1
vn34:admire-31.2:533cc9a01b6999b2	admire	admire#1	admire-31.2	"[""admire%2:37:00""]"	"[""admire.01""]"	"[""Judgment""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2
vn34:admit-64.3-1:36442cc9cc473019	admit	admit#1	admit-64.3-1	"[""admit%2:41:00"",""admit%2:41:01""]"	"[""admit.02"",""admit.03""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admit-64.3-1
vn34:confess-37.10:ad8a6707c971014b	admit	admit#2	confess-37.10	"[""admit%2:32:00""]"	"[""admit.01""]"	"[""Reveal_secret""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:confess-37.10
vn34:conjecture-29.5:f20bec01164f4611	admit	admit#3	conjecture-29.5	"[""admit%2:32:00""]"	"[""admit.01""]"	"[""Reveal_secret""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:conjecture-29.5
vn34:mix-22.1-1:10777689491c7cf4	admix	admix#1	mix-22.1-1	"[""admix%2:30:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:mix-22.1-1
vn34:advise-37.9-1:ff0cee80e11a7d5d	admonish	admonish#1	advise-37.9-1	"[""admonish%2:32:00"",""admonish%2:32:01"",""admonish%2:32:02""]"	"[""admonish.01"",""admonish.02""]"	"[""Judgment_direct_address""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:advise-37.9-1
vn34:urge-58.1-1-1:772acb32a581ba37	admonish	admonish#2	urge-58.1-1-1	"[""admonish%2:32:01"",""admonish%2:32:02""]"	"[""admonish.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:urge-58.1-1-1
vn34:adopt-93.1:2e17bfe5a67ec10a	adopt	adopt#1	adopt-93.1	"[""adopt%2:40:02""]"	"[""adopt.01""]"	"[""Adopt_selection""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:adopt-93.1
vn34:appoint-29.1:04bf234ee7115b3c	adopt	adopt#2	appoint-29.1	"[""adopt%2:31:04"",""adopt%2:40:00"",""adopt%2:40:02"",""adopt%2:41:01""]"	"[""adopt.01""]"	"[""Adopt_selection""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:appoint-29.1
vn34:characterize-29.2:c86de497add9305b	adopt	adopt#3	characterize-29.2	"[""adopt%2:31:04"",""adopt%2:40:00"",""adopt%2:40:02"",""adopt%2:41:01""]"	"[""adopt.02""]"	"[""Adopt_selection""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:characterize-29.2
vn34:admire-31.2:5bb0f34ed769f529	adore	adore#1	admire-31.2	"[""adore%2:37:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2
vn34:fill-9.8-1:356d3fc4aab488e0	adorn	adorn#1	fill-9.8-1	"[""adorn%2:36:00"",""adorn%2:42:00""]"	"[""adorn.01"",""adorn.02""]"	"[""Distributed_position""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:fill-9.8-1
vn34:illustrate-25.3:83bc61661d0dc890	adorn	adorn#2	illustrate-25.3	"[""adorn%2:36:00""]"	"[""adorn.01""]"	"[""Filling""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:illustrate-25.3
vn34:caused_calibratable_cos-45.6.2-1:f11e8618b0d2a129	advance	advance#1	caused_calibratable_cos-45.6.2-1	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:caused_calibratable_cos-45.6.2-1
vn34:escape-51.1-1:3497af8a21e495c2	advance	advance#2	escape-51.1-1	"[""advance%2:38:00""]"	"[""advance.01""]"	"[""Progression""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:escape-51.1-1
vn34:future_having-13.3:66e357e6007a8585	advance	advance#3	future_having-13.3	"[""advance%2:40:00""]"	"[""advance.05""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:future_having-13.3
vn34:promote-102:6b9deba7489c787b	advance	advance#4	promote-102	"[""advance%2:41:00"",""advance%2:41:01""]"	"[""advance.03"",""advance.04""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:promote-102
vn34:convert-26.6.2:a6ef2a2134d5d825	advert	advert#1	convert-26.6.2	"[""advert%2:32:01""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:convert-26.6.2
vn34:indicate-78:1ba0098465a65fab	advertise	advertise#1	indicate-78	"[""advertise%2:32:01""]"	"[""advertise.02""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:indicate-78
vn34:advise-37.9-1:a06cbc6c6a07443b	advise	advise#1	advise-37.9-1	"[""advise%2:32:00"",""advise%2:32:01""]"	"[""advise.01"",""advise.02""]"	"[""Attempt_suasion""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:advise-37.9-1
vn34:say-37.7-1-1:133a9b6ba88d09c5	advise	advise#2	say-37.7-1-1	"[""advise%2:32:01""]"	"[""advise.01"",""advise.02""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:say-37.7-1-1
vn34:amuse-31.1:6bfa17a9d9972ddd	affect	affect#1	amuse-31.1	"[""affect%2:37:00""]"	"[""affect.02""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1
vn34:amalgamate-22.2-2:c0e663c45519601e	affiliate	affiliate#1	amalgamate-22.2-2	"[""affiliate%2:41:00"",""affiliate%2:41:12""]"	"[""affiliate.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amalgamate-22.2-2
vn34:admire-31.2:8f6c352b7bed6393	affirm	affirm#1	admire-31.2	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2
vn34:conjecture-29.5:2826b6dd079c9109	affirm	affirm#2	conjecture-29.5	"[""affirm%2:32:00""]"	"[""affirm.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:conjecture-29.5
vn34:indicate-78-1-1:c3b16be55fefa4eb	affirm	affirm#3	indicate-78-1-1	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:indicate-78-1-1
vn34:shake-22.3-2-1:f4ee1ca5a9704ac8	affix	affix#1	shake-22.3-2-1	"[""affix%2:35:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:shake-22.3-2-1
vn34:tape-22.4:9a32b9e0ee53fb5e	affix	affix#2	tape-22.4	"[""affix%2:35:00"",""affix%2:35:01"",""affix%2:35:02""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:tape-22.4
vn34:amuse-31.1:fd3406335e70275c	afflict	afflict#1	amuse-31.1	"[""afflict%2:37:00""]"	"[""afflict.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1
vn34:amuse-31.1:698ecd7e02ba4a1d	affront	affront#1	amuse-31.1	"[""affront%2:32:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1
vn34:remedy-45.7:add8449ec45031d3	africanize	africanize#1	remedy-45.7	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remedy-45.7
vn34:other_cos-45.4:755b16ade9dea912	age	age#1	other_cos-45.4	"[""age%2:30:00"",""age%2:30:01"",""age%2:30:02""]"	"[""age.02""]"	"[""Aging""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4
vn34:other_cos-45.4:7fb4df0760cc914c	agglomerate	agglomerate#1	other_cos-45.4	"[""agglomerate%2:35:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4
vn34:shake-22.3-2-1:0b3a4664fd713201	agglutinate	agglutinate#1	shake-22.3-2-1	"[""agglutinate%2:35:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:shake-22.3-2-1
vn34:amuse-31.1:7f5c06a0e1beade0	aggravate	aggravate#1	amuse-31.1	"[""aggravate%2:37:00""]"	"[""aggravate.01""]"	"[""Experiencer_obj""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1
vn34:herd-47.5.2:c7edd6c5efa11341	aggregate	aggregate#1	herd-47.5.2	"[""aggregate%2:35:00""]"	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:herd-47.5.2
vn34:amuse-31.1:c1051f366ff2bd60	aggrieve	aggrieve#1	amuse-31.1	[]	[]	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1
vn34:amuse-31.1:b4496da65110294c	agitate	agitate#1	amuse-31.1	"[""agitate%2:37:00""]"	"[""agitate.01""]"	"[""None""]"	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1
