action_id	lemma	frame_id	thematic_role	hole_role	requirement	strength	mapping_status	provenance
vn34:leave-51.2:3bc1cd6b2214850f	abandon	leave-51.2:frame:fe93b10fd0e2c1dd	Source	ObjectHole	AnyOf [HasSort Place,HasSort Animate]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:leave-51.2:role:Source:audited-projection-v1
vn34:leave-51.2:3bc1cd6b2214850f	abandon	leave-51.2:frame:fe93b10fd0e2c1dd	Theme	SubjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:leave-51.2:role:Theme:audited-projection-v1
vn34:remedy-45.7:97e8e734542caab0	abase	remedy-45.7:frame:37ae6320519acf40	Patient	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remedy-45.7:role:Patient:lossless-v1
vn34:remedy-45.7:97e8e734542caab0	abase	remedy-45.7:frame:37ae6320519acf40	Instrument	PostVerbHole2	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remedy-45.7:role:Instrument:lossless-v1
vn34:remedy-45.7:97e8e734542caab0	abase	remedy-45.7:frame:37ae6320519acf40	Agent	SubjectHole	"{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""int_control""}],""op"":""all""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remedy-45.7:role:Agent:lossless-v1
vn34:remedy-45.7:97e8e734542caab0	abase	remedy-45.7:frame:88f4aeb06f1e1074	Patient	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remedy-45.7:role:Patient:lossless-v1
vn34:remedy-45.7:97e8e734542caab0	abase	remedy-45.7:frame:88f4aeb06f1e1074	Agent	SubjectHole	"{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""int_control""}],""op"":""all""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remedy-45.7:role:Agent:lossless-v1
vn34:amuse-31.1:ece41f628760841e	abash	amuse-31.1:frame:42cbf0d4df989337	Experiencer	ObjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1:role:Experiencer:audited-projection-v1
vn34:amuse-31.1:ece41f628760841e	abash	amuse-31.1:frame:42cbf0d4df989337	Result	PostVerbHole2	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1:role:Result:lossless-v1
vn34:amuse-31.1:ece41f628760841e	abash	amuse-31.1:frame:42cbf0d4df989337	Stimulus	SubjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1:role:Stimulus:lossless-v1
vn34:amuse-31.1:ece41f628760841e	abash	amuse-31.1:frame:5dd2258c93c8bc33	Experiencer	ObjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1:role:Experiencer:audited-projection-v1
vn34:amuse-31.1:ece41f628760841e	abash	amuse-31.1:frame:5dd2258c93c8bc33	Stimulus	SubjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1:role:Stimulus:lossless-v1
vn34:amuse-31.1:ece41f628760841e	abash	amuse-31.1:frame:6488101548354f17	Experiencer	SubjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1:role:Experiencer:audited-projection-v1
vn34:amuse-31.1:ece41f628760841e	abash	amuse-31.1:frame:cbad94fc1397ffb6	Stimulus	SubjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1:role:Stimulus:lossless-v1
vn34:amuse-31.1:ece41f628760841e	abash	amuse-31.1:frame:f94fadbd6548cddf	Experiencer	ObjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1:role:Experiencer:audited-projection-v1
vn34:amuse-31.1:ece41f628760841e	abash	amuse-31.1:frame:f94fadbd6548cddf	Stimulus	SubjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:amuse-31.1:role:Stimulus:lossless-v1
vn34:other_cos-45.4:e2b264e98a68a56c	abate	other_cos-45.4:frame:4f20fd50c2d5f00f	Patient	SubjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Patient:lossless-v1
vn34:other_cos-45.4:e2b264e98a68a56c	abate	other_cos-45.4:frame:7630d78c6c903f7f	Patient	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Patient:lossless-v1
vn34:other_cos-45.4:e2b264e98a68a56c	abate	other_cos-45.4:frame:7630d78c6c903f7f	Instrument	SubjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Instrument:lossless-v1
vn34:other_cos-45.4:e2b264e98a68a56c	abate	other_cos-45.4:frame:a5802d66d1a90299	Patient	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Patient:lossless-v1
vn34:other_cos-45.4:e2b264e98a68a56c	abate	other_cos-45.4:frame:a5802d66d1a90299	Instrument	PostVerbHole2	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Instrument:lossless-v1
vn34:other_cos-45.4:e2b264e98a68a56c	abate	other_cos-45.4:frame:a5802d66d1a90299	Agent	SubjectHole	"{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""int_control""}],""op"":""all""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Agent:lossless-v1
vn34:other_cos-45.4:e2b264e98a68a56c	abate	other_cos-45.4:frame:b1ea3acdfba7651b	Patient	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Patient:lossless-v1
vn34:other_cos-45.4:e2b264e98a68a56c	abate	other_cos-45.4:frame:b1ea3acdfba7651b	Agent	SubjectHole	"{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""int_control""}],""op"":""all""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Agent:lossless-v1
vn34:other_cos-45.4:e2b264e98a68a56c	abate	other_cos-45.4:frame:e9234b123551dcfa	Patient	SubjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Patient:lossless-v1
vn34:other_cos-45.4:3a16cb38c9e4089f	abbreviate	other_cos-45.4:frame:4f20fd50c2d5f00f	Patient	SubjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Patient:lossless-v1
vn34:other_cos-45.4:3a16cb38c9e4089f	abbreviate	other_cos-45.4:frame:7630d78c6c903f7f	Patient	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Patient:lossless-v1
vn34:other_cos-45.4:3a16cb38c9e4089f	abbreviate	other_cos-45.4:frame:7630d78c6c903f7f	Instrument	SubjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Instrument:lossless-v1
vn34:other_cos-45.4:3a16cb38c9e4089f	abbreviate	other_cos-45.4:frame:a5802d66d1a90299	Patient	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Patient:lossless-v1
vn34:other_cos-45.4:3a16cb38c9e4089f	abbreviate	other_cos-45.4:frame:a5802d66d1a90299	Instrument	PostVerbHole2	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Instrument:lossless-v1
vn34:other_cos-45.4:3a16cb38c9e4089f	abbreviate	other_cos-45.4:frame:a5802d66d1a90299	Agent	SubjectHole	"{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""int_control""}],""op"":""all""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Agent:lossless-v1
vn34:other_cos-45.4:3a16cb38c9e4089f	abbreviate	other_cos-45.4:frame:b1ea3acdfba7651b	Patient	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Patient:lossless-v1
vn34:other_cos-45.4:3a16cb38c9e4089f	abbreviate	other_cos-45.4:frame:b1ea3acdfba7651b	Agent	SubjectHole	"{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""int_control""}],""op"":""all""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Agent:lossless-v1
vn34:other_cos-45.4:3a16cb38c9e4089f	abbreviate	other_cos-45.4:frame:e9234b123551dcfa	Patient	SubjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:other_cos-45.4:role:Patient:lossless-v1
vn34:resign-10.11-2:e64f6075d81dafed	abdicate	resign-10.11-2:frame:aaa0922adda59cf3	Source	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:resign-10.11-2:role:Source:lossless-v1
vn34:resign-10.11-2:e64f6075d81dafed	abdicate	resign-10.11-2:frame:aaa0922adda59cf3	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:resign-10.11-2:role:Agent:audited-projection-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:451c6920498b744f	Theme	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Theme:lossless-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:451c6920498b744f	Source	PostVerbHole2	"{""args"":[{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""animate""},{""op"":""atom"",""sign"":""+"",""type"":""organization""}],""op"":""all""},{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""location""},{""op"":""atom"",""sign"":""-"",""type"":""region""}],""op"":""all""}],""op"":""any""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Source:lossless-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:451c6920498b744f	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Agent:audited-projection-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:7b502af4b34af620	Theme	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Theme:lossless-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:7b502af4b34af620	Beneficiary	PostVerbHole2	HasSort Animate	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Beneficiary:audited-projection-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:7b502af4b34af620	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Agent:audited-projection-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:8319b867b8aa0e49	Theme	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Theme:lossless-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:8319b867b8aa0e49	Source	PostVerbHole2	"{""args"":[{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""animate""},{""op"":""atom"",""sign"":""+"",""type"":""organization""}],""op"":""all""},{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""location""},{""op"":""atom"",""sign"":""-"",""type"":""region""}],""op"":""all""}],""op"":""any""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Source:lossless-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:8319b867b8aa0e49	Beneficiary	PostVerbHole3	HasSort Animate	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Beneficiary:audited-projection-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:8319b867b8aa0e49	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Agent:audited-projection-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:9b3ae4963eb52cd4	Theme	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Theme:lossless-v1
vn34:steal-10.5:053b0dc46003e8b6	abduct	steal-10.5:frame:9b3ae4963eb52cd4	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:steal-10.5:role:Agent:audited-projection-v1
vn34:help-72.1-1-1:37aa21d46b9a5377	abet	help-72.1-1-1:frame:471a00c93f9817f2	Theme	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:help-72.1-1-1:role:Theme:lossless-v1
vn34:help-72.1-1-1:37aa21d46b9a5377	abet	help-72.1-1-1:frame:471a00c93f9817f2	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:help-72.1-1-1:role:Agent:audited-projection-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:4e8872fc07a3fc11	Stimulus	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Stimulus:lossless-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:4e8872fc07a3fc11	Experiencer	SubjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Experiencer:audited-projection-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:5e3e9f308de0bd7c	Stimulus	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Stimulus:lossless-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:5e3e9f308de0bd7c	Experiencer	SubjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Experiencer:audited-projection-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:6d699171923d93a1	Stimulus	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Stimulus:lossless-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:6d699171923d93a1	Experiencer	SubjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Experiencer:audited-projection-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:f7230b11da0fd1c2	Stimulus	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Stimulus:lossless-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:f7230b11da0fd1c2	Experiencer	SubjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Experiencer:audited-projection-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:fa74130285807952	Stimulus	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Stimulus:lossless-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:fa74130285807952	Experiencer	SubjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Experiencer:audited-projection-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:fd6052df6b9cbbd8	Stimulus	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Stimulus:lossless-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:fd6052df6b9cbbd8	Attribute	PostVerbHole2	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Attribute:lossless-v1
vn34:admire-31.2:30db2c66fe0fbafa	abhor	admire-31.2:frame:fd6052df6b9cbbd8	Experiencer	SubjectHole	HasSort Animate	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:admire-31.2:role:Experiencer:audited-projection-v1
vn34:abide_by-93.2:8d2f93cdd169d7f3	abide_by	abide_by-93.2:frame:68f5a9962fec5f67	Theme	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:abide_by-93.2:role:Theme:lossless-v1
vn34:abide_by-93.2:8d2f93cdd169d7f3	abide_by	abide_by-93.2:frame:68f5a9962fec5f67	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:abide_by-93.2:role:Agent:audited-projection-v1
vn34:contribute-13.2:46e7c382a3e3a6fa	abnegate	contribute-13.2:frame:57fb818c24d81c1b	Recipient	ObjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contribute-13.2:role:Recipient:audited-projection-v1
vn34:contribute-13.2:46e7c382a3e3a6fa	abnegate	contribute-13.2:frame:57fb818c24d81c1b	Theme	PostVerbHole2	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contribute-13.2:role:Theme:lossless-v1
vn34:contribute-13.2:46e7c382a3e3a6fa	abnegate	contribute-13.2:frame:57fb818c24d81c1b	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contribute-13.2:role:Agent:audited-projection-v1
vn34:contribute-13.2:46e7c382a3e3a6fa	abnegate	contribute-13.2:frame:938296b4991062ff	Theme	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contribute-13.2:role:Theme:lossless-v1
vn34:contribute-13.2:46e7c382a3e3a6fa	abnegate	contribute-13.2:frame:938296b4991062ff	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contribute-13.2:role:Agent:audited-projection-v1
vn34:contribute-13.2:46e7c382a3e3a6fa	abnegate	contribute-13.2:frame:df79f950d603f02e	Theme	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contribute-13.2:role:Theme:lossless-v1
vn34:contribute-13.2:46e7c382a3e3a6fa	abnegate	contribute-13.2:frame:df79f950d603f02e	Recipient	PostVerbHole2	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contribute-13.2:role:Recipient:audited-projection-v1
vn34:contribute-13.2:46e7c382a3e3a6fa	abnegate	contribute-13.2:frame:df79f950d603f02e	Agent	SubjectHole	AnyOf [HasSort Animate,HasSort Organization]	SelectionalPreference	compiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:contribute-13.2:role:Agent:audited-projection-v1
vn34:remove-10.1:85ee09f7a5d44a64	abolish	remove-10.1:frame:a816427045b98e94	Theme	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remove-10.1:role:Theme:lossless-v1
vn34:remove-10.1:85ee09f7a5d44a64	abolish	remove-10.1:frame:a816427045b98e94	Initial_Location	PostVerbHole2	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remove-10.1:role:Initial_Location:lossless-v1
vn34:remove-10.1:85ee09f7a5d44a64	abolish	remove-10.1:frame:a816427045b98e94	Agent	SubjectHole	"{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""int_control""},{""op"":""atom"",""sign"":""+"",""type"":""organization""}],""op"":""any""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remove-10.1:role:Agent:lossless-v1
vn34:remove-10.1:85ee09f7a5d44a64	abolish	remove-10.1:frame:bbfd5475e241990a	Theme	ObjectHole	null	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remove-10.1:role:Theme:lossless-v1
vn34:remove-10.1:85ee09f7a5d44a64	abolish	remove-10.1:frame:bbfd5475e241990a	Agent	SubjectHole	"{""args"":[{""op"":""atom"",""sign"":""+"",""type"":""int_control""},{""op"":""atom"",""sign"":""+"",""type"":""organization""}],""op"":""any""}"	SelectionalPreference	uncompiled	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:remove-10.1:role:Agent:lossless-v1
